,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,random_r,random_r1,random_r2,sr1u,sro,ur2o
0,,,,,,,,,,,,
0,4.843953000000001,2.652712,2.582905,5.37672,5.38217,5.36141,10,10,10,10,10,10
1,4.843346,2.589874,2.524823,5.24453,5.2914900000000005,5.21628,10,10,10,10,10,10
2,4.842848000000001,2.5469749999999998,2.4854150000000006,5.154859999999999,5.230569999999999,5.118319999999999,10,10,10,10,10,10
3,4.842415000000001,2.512606,2.453793,5.08314,5.18247,5.0404100000000005,10,10,10,10,10,10
4,4.842040000000001,2.483236,2.4267220000000003,5.021940000000001,5.14189,4.97422,10,10,10,10,10,10
5,4.841708999999999,2.4572390000000004,2.4027350000000003,4.96776,5.106310000000001,4.91586,10,10,10,10,10,10
6,4.841422,2.4337329999999997,2.380976,4.91869,5.07447,4.863180000000001,10,10,10,10,10,10
7,4.841162000000001,2.4121390000000003,2.360947,4.8735,5.045520000000001,4.81481,10,10,10,10,10,10
8,4.840942,2.3920749999999997,2.342299,4.831450000000001,5.01897,4.769839999999999,10,10,10,10,10,10
9,4.840745,2.37329,2.3248029999999997,4.7918699999999985,4.994369999999999,4.72759,10,10,10,10,10,10
10,4.840585,2.3555719999999996,2.308277,4.75441,4.971380000000001,4.68761,10,10,10,10,10,10
11,4.840440000000001,2.338772,2.2925720000000003,4.718719999999999,4.949800000000001,4.6496,10,10,10,10,10,10
12,4.840328000000001,2.322787,2.277603,4.68459,4.92948,4.61323,10,10,10,10,10,10
13,4.840231,2.307505,2.263268,4.6517800000000005,4.910210000000001,4.5783000000000005,10,10,10,10,10,10
14,4.840164,2.292852,2.2495109999999996,4.620189999999999,4.89194,4.54462,10,10,10,10,10,10
15,4.840112,2.278768,2.236264,4.589629999999999,4.87455,4.51207,10,10,10,10,10,10
16,4.840088,2.265197,2.2234809999999996,4.5600499999999995,4.85796,4.4804900000000005,10,10,10,10,10,10
17,4.840072,2.2520809999999996,2.211117,4.53132,4.842099999999999,4.44985,10,10,10,10,10,10
18,4.8400799999999995,2.2393989999999997,2.199156,4.503369999999999,4.82688,4.419969999999999,10,10,10,10,10,10
19,4.8401130000000006,2.227097,2.187541,4.47611,4.8123,4.39081,10,10,10,10,10,10
20,4.840153,2.215149,2.1762589999999995,4.449529999999999,4.79832,4.36235,10,10,10,10,10,10
21,4.840216,2.2035400000000003,2.165278,4.42349,4.78488,4.33448,10,10,10,10,10,10
22,4.840287999999999,2.1922300000000003,2.1545870000000003,4.39804,4.77192,4.30716,10,10,10,10,10,10
23,4.840377,2.1812020000000003,2.1441550000000005,4.37306,4.75946,4.28035,10,10,10,10,10,10
24,4.840487,2.1704429999999997,2.133978,4.34855,4.74742,4.253989999999999,10,10,10,10,10,10
25,4.840603,2.159928,2.124028,4.324450000000001,4.73583,4.2280500000000005,10,10,10,10,10,10
26,4.840741999999999,2.149647,2.114294,4.30074,4.724639999999999,4.202530000000001,10,10,10,10,10,10
27,4.84089,2.139585,2.1047729999999993,4.2774,4.713820000000001,4.17737,10,10,10,10,10,10
28,4.841048,2.1297270000000004,2.0954360000000003,4.254370000000001,4.70338,4.15251,10,10,10,10,10,10
29,4.8412239999999995,2.120063,2.0862899999999995,4.23166,4.69329,4.12799,10,10,10,10,10,10
30,4.841412,2.1105840000000002,2.077317,4.20925,4.68354,4.10376,10,10,10,10,10,10
31,4.841613,2.101274,2.068502,4.187060000000001,4.6740699999999995,4.07981,10,10,10,10,10,10
32,4.841827,2.0921339999999997,2.059847,4.165149999999999,4.664949999999999,4.056089999999999,10,10,10,10,10,10
33,4.842052999999999,2.083144,2.0513369999999997,4.14345,4.65607,4.03262,10,10,10,10,10,10
34,4.842285,2.0743080000000003,2.042965,4.12198,4.64747,4.00934,10,10,10,10,10,10
35,4.842538,2.0656089999999994,2.034723,4.10064,4.639169999999999,3.9863100000000005,10,10,10,10,10,10
36,4.842796,2.057043,2.026614,4.07954,4.631130000000001,3.96344,10,10,10,10,10,10
37,4.8430670000000005,2.0486079999999998,2.018628,4.05858,4.62333,3.94076,10,10,10,10,10,10
38,4.843349999999999,2.040289,2.010751,4.03776,4.615779999999999,3.91823,10,10,10,10,10,10
39,4.843643999999999,2.0320980000000004,2.002997,4.01709,4.608460000000001,3.8958400000000006,10,10,10,10,10,10
40,4.843943,2.0240080000000003,1.995332,3.9965800000000002,4.601349999999999,3.8736200000000003,10,10,10,10,10,10
41,4.844259000000001,2.016029,1.9877790000000002,3.9761599999999993,4.594460000000001,3.8515299999999995,10,10,10,10,10,10
42,4.8445860000000005,2.008159,1.9803190000000002,3.9558400000000007,4.587809999999999,3.82954,10,10,10,10,10,10
43,4.84492,2.000377,1.9729499999999998,3.9356500000000003,4.581349999999999,3.80769,10,10,10,10,10,10
44,4.845267000000001,1.9926970000000002,1.965672,3.9155300000000004,4.575079999999999,3.7859299999999996,10,10,10,10,10,10
45,4.8456220000000005,1.9851009999999998,1.9584810000000001,3.89553,4.56902,3.764300000000001,10,10,10,10,10,10
46,4.8459829999999995,1.977597,1.951368,3.8755800000000002,4.56312,3.7427400000000004,10,10,10,10,10,10
47,4.846358,1.9701710000000001,1.9443360000000003,3.8557300000000003,4.557440000000001,3.721280000000001,10,10,10,10,10,10
48,4.846743000000001,1.9628260000000002,1.937379,3.8359699999999997,4.5519300000000005,3.69989,10,10,10,10,10,10
49,4.847143,1.9555589999999998,1.9304960000000002,3.8162399999999996,4.54659,3.67858,10,10,10,10,10,10
