,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmscore,zrandom_rank,zrank,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,
34,5.3769975,2.322075,2.1463475,4.1419299999999994,4.6551,4.015300000000001,0.7406676054000855,16.675,1269.8,10,10,10,10,10,10,10,10,10
35,5.377122500000001,2.3125875000000002,2.136985,4.12094,4.646840000000001,3.9922999999999993,0.7406676054000855,16.85,1270.1,10,10,10,10,10,10,10,10,10
36,5.37727,2.30327,2.12778,4.100099999999999,4.63883,3.9694899999999995,0.7406676054000855,17.175,1270.0,10,10,10,10,10,10,10,10,10
37,5.3774125,2.2941075,2.118725,4.07943,4.6310899999999995,3.94685,0.7406676054000855,17.625,1269.9,10,10,10,10,10,10,10,10,10
38,5.37758,2.2850925,2.1098250000000003,4.0589,4.6236,3.924360000000001,0.7406676054000855,17.875,1270.0,10,10,10,10,10,10,10,10,10
39,5.3777574999999995,2.2762325,2.1010725,4.03853,4.616280000000001,3.9020199999999994,0.7406676054000855,18.15,1270.0,10,10,10,10,10,10,10,10,10
40,5.377929999999999,2.2675075,2.092445,4.01826,4.60922,3.87984,0.7406676054000855,18.35,1269.9,10,10,10,10,10,10,10,10,10
41,5.378122500000001,2.258905,2.0839525,3.99812,4.6023499999999995,3.85776,0.7406676054000855,18.625,1269.7,10,10,10,10,10,10,10,10,10
42,5.378325,2.2504475,2.0755900000000005,3.9781000000000004,4.59572,3.83583,0.7406676054000855,18.85,1269.6,10,10,10,10,10,10,10,10,10
43,5.3785300000000005,2.2420925,2.067345,3.9581600000000003,4.58928,3.8139900000000004,0.7406676054000855,19.125,1269.5,10,10,10,10,10,10,10,10,10
44,5.378752500000001,2.2338575,2.05922,3.93832,4.583030000000001,3.79226,0.7406676054000855,19.3,1268.6,10,10,10,10,10,10,10,10,10
45,5.3789750000000005,2.2257474999999998,2.05121,3.91857,4.577,3.7706300000000006,0.7406676054000855,19.6,1268.2,10,10,10,10,10,10,10,10,10
46,5.379197500000001,2.2177300000000004,2.043305,3.8988799999999997,4.57111,3.74908,0.7406676054000855,19.9,1267.9,10,10,10,10,10,10,10,10,10
47,5.379445,2.2098225000000005,2.0355075,3.87929,4.5654200000000005,3.7276300000000004,0.7406676054000855,20.0,1267.4,10,10,10,10,10,10,10,10,10
48,5.379697500000001,2.2020275000000002,2.027815,3.85977,4.55991,3.70625,0.7406676054000855,20.225,1267.2,10,10,10,10,10,10,10,10,10
49,5.379945,2.1943174999999995,2.0202175,3.8403000000000005,4.55456,3.68494,0.7406676054000855,20.525,1267.1,10,10,10,10,10,10,10,10,10
50,5.380227500000001,2.1867124999999996,2.0127175,3.8209199999999996,4.54939,3.66373,0.7384094893932343,20.7,1266.2,10,10,10,10,10,10,10,10,10
51,5.380485,2.1791975,2.0053150000000004,3.8015700000000003,4.544390000000001,3.6425700000000005,0.7384094893932343,20.875,1266.0,10,10,10,10,10,10,10,10,10
52,5.380762500000001,2.1717675,1.9979974999999999,3.7823100000000003,4.53951,3.621470000000001,0.7384094893932343,21.075,1265.6,10,10,10,10,10,10,10,10,10
53,5.381045,2.1644200000000002,1.9907674999999998,3.76305,4.53484,3.6004300000000002,0.7384094893932343,21.2,1264.9,10,10,10,10,10,10,10,10,10
54,5.38134,2.1571724999999997,1.9836125000000002,3.7438700000000003,4.53029,3.5794599999999996,0.7384094893932343,21.275,1264.5,10,10,10,10,10,10,10,10,10
55,5.38164,2.1499975,1.9765600000000003,3.7247400000000006,4.5258899999999995,3.5585099999999996,0.7384094893932343,21.325,1264.4,10,10,10,10,10,10,10,10,10
56,5.381955,2.142875,1.969575,3.7056499999999994,4.52164,3.5376199999999995,0.7384094893932343,21.625,1263.8,10,10,10,10,10,10,10,10,10
57,5.38226,2.135855,1.96267,3.6866,4.51753,3.5168,0.7384094893932343,21.875,1263.4,10,10,10,10,10,10,10,10,10
