,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
44.0,5.3964,3.1529025,3.829859999999999,4.60395,989.45,135.875,1038.4,10,10,10,10,10,10,10
45.0,5.396324999999999,3.1437925000000004,3.8084599999999993,4.597949999999999,990.35,139.9,1040.6,10,10,10,10,10,10,10
46.0,5.3962725,3.1347650000000002,3.78718,4.59216,991.75,144.475,1043.6,10,10,10,10,10,10,10
47.0,5.396205,3.1258274999999998,3.7660399999999994,4.58658,993.45,149.0,1045.6,10,10,10,10,10,10,10
48.0,5.3961524999999995,3.1169825,3.7450099999999997,4.58115,995.05,153.45,1049.5,10,10,10,10,10,10,10
49.0,5.396115,3.1082275,3.7241299999999997,4.57596,996.55,157.625,1053.0,10,10,10,10,10,10,10
50.0,5.3960775,3.09955,3.70333,4.57095,997.45,162.3875,1056.6,10,10,10,10,10,10,10
51.0,5.396045,3.0909424999999997,3.6826400000000006,4.56612,998.25,167.025,1062.0,10,10,10,10,10,10,10
52.0,5.3960375,3.0824299999999996,3.66209,4.561449999999999,998.75,171.375,1067.3,10,10,10,10,10,10,10
53.0,5.3960275,3.0739800000000006,3.64165,4.55695,999.55,175.825,1073.9,10,10,10,10,10,10,10
54.0,5.396027500000001,3.065615,3.6212600000000004,4.552619999999999,1000.65,180.575,1079.6,10,10,10,10,10,10,10
55.0,5.39604,3.0573250000000005,3.6009599999999997,4.548450000000001,1001.55,185.0,1085.7,10,10,10,10,10,10,10
56.0,5.39606,3.0490874999999997,3.58077,4.544439999999999,1002.05,189.8125,1091.7,10,10,10,10,10,10,10
57.0,5.3960925,3.0409375,3.56066,4.540570000000001,1002.65,193.975,1098.9,10,10,10,10,10,10,10
58.0,5.3961475000000005,3.0328425,3.540639999999999,4.536849999999999,1003.95,198.45,1106.8,10,10,10,10,10,10,10
59.0,5.396202499999999,3.02482,3.5207,4.5332799999999995,1004.45,202.2125,1115.1,10,10,10,10,10,10,10
