,mean,mean,mean,mean,count,count,count,count
,random_r,random_r1,sr1o,sro,random_r,random_r1,sr1o,sro
0,,,,,,,,
0,8.451234000000001,0.336941,9.849359999999999,9.39026,10,10,10,10
1,8.450907,0.31468900000000005,9.507589999999999,9.176929999999999,10,10,10,10
2,8.450646,0.29995099999999997,9.242160000000002,9.00544,10,10,10,10
3,8.450433,0.28846299999999997,9.00427,8.85361,10,10,10,10
4,8.450270999999999,0.27891000000000005,8.77928,8.713420000000001,10,10,10,10
5,8.450143999999998,0.27066700000000005,8.560860000000002,8.58081,10,10,10,10
6,8.450056,0.263393,8.34563,8.4536,10,10,10,10
7,8.449994,0.2568769999999999,8.131420000000002,8.33066,10,10,10,10
8,8.449976,0.25097099999999994,7.9168400000000005,8.21141,10,10,10,10
9,8.449996,0.245566,7.7012,8.095740000000001,10,10,10,10
10,8.450037999999997,0.240591,7.48438,7.98356,10,10,10,10
11,8.450113000000002,0.23597400000000004,7.26679,7.8750100000000005,10,10,10,10
12,8.450212,0.231675,7.04928,7.770079999999998,10,10,10,10
13,8.450348,0.227657,6.8329,7.668819999999999,10,10,10,10
14,8.450505000000001,0.223883,6.61883,7.571300000000001,10,10,10,10
15,8.450698,0.220323,6.408200000000001,7.47751,10,10,10,10
16,8.450909,0.21696,6.2020800000000005,7.38743,10,10,10,10
17,8.451164,0.21377599999999997,6.0013499999999995,7.301010000000001,10,10,10,10
18,8.451446,0.21075300000000002,5.80679,7.218210000000001,10,10,10,10
19,8.451754000000001,0.20786800000000002,5.6189599999999995,7.13887,10,10,10,10
20,8.452094,0.20511299999999996,5.438280000000001,7.0629800000000005,10,10,10,10
21,8.452475999999999,0.202474,5.2649799999999995,6.990309999999999,10,10,10,10
22,8.452898,0.199952,5.09924,6.9208,10,10,10,10
23,8.453343,0.19752399999999998,4.9409600000000005,6.854320000000001,10,10,10,10
24,8.453831999999998,0.195193,4.7901,6.79072,10,10,10,10
25,8.454356,0.192946,4.6464,6.72983,10,10,10,10
26,8.4549,0.190781,4.50962,6.671570000000001,10,10,10,10
27,8.455487,0.18868500000000002,4.37945,6.61576,10,10,10,10
28,8.456094,0.18665700000000002,4.25554,6.56227,10,10,10,10
29,8.456726999999999,0.18470400000000003,4.13753,6.51099,10,10,10,10
30,8.457384999999999,0.1828,4.0250699999999995,6.461740000000001,10,10,10,10
31,8.458067,0.180964,3.9178000000000006,6.414490000000001,10,10,10,10
32,8.458776,0.179172,3.81537,6.36905,10,10,10,10
33,8.459506999999999,0.177442,3.7174500000000004,6.32534,10,10,10,10
34,8.460247999999998,0.175753,3.6237299999999997,6.2832799999999995,10,10,10,10
35,8.461018999999999,0.17411100000000002,3.5339000000000005,6.24276,10,10,10,10
36,8.461808000000001,0.17251599999999997,3.4476999999999998,6.20364,10,10,10,10
37,8.462619,0.170965,3.3648800000000003,6.16593,10,10,10,10
38,8.463453999999999,0.169456,3.28522,6.1294900000000005,10,10,10,10
39,8.4643,0.167975,3.20846,6.0942799999999995,10,10,10,10
40,8.465174,0.166533,3.1344199999999995,6.06025,10,10,10,10
41,8.466069999999998,0.165128,3.06294,6.0273200000000005,10,10,10,10
42,8.466983,0.163754,2.9938399999999996,5.99543,10,10,10,10
43,8.467929999999999,0.162412,2.9270099999999997,5.964550000000001,10,10,10,10
44,8.468893,0.16109400000000001,2.86226,5.934629999999999,10,10,10,10
45,8.469879,0.15981900000000002,2.79949,5.90563,10,10,10,10
46,8.470891,0.15855199999999997,2.73863,5.87749,10,10,10,10
47,8.471919,0.15731900000000004,2.6795199999999997,5.850219999999999,10,10,10,10
48,8.47297,0.15611100000000003,2.6221000000000005,5.82378,10,10,10,10
49,8.474034,0.15492299999999998,2.5662800000000003,5.798109999999999,10,10,10,10
50,8.475128,0.15376299999999998,2.512000000000001,5.773210000000001,10,10,10,10
51,8.476243,0.152619,2.45919,5.749039999999999,10,10,10,10
52,8.477367,0.151497,2.40777,5.72556,10,10,10,10
53,8.478507,0.150395,2.357729999999999,5.70278,10,10,10,10
54,8.479668999999998,0.149315,2.30894,5.68066,10,10,10,10
55,8.480849,0.148254,2.2614300000000003,5.65921,10,10,10,10
56,8.482046,0.147212,2.2150999999999996,5.63834,10,10,10,10
57,8.483267999999999,0.14618200000000006,2.1699600000000006,5.61808,10,10,10,10
58,8.484498,0.145179,2.1259500000000005,5.59839,10,10,10,10
59,8.485754000000002,0.144183,2.0830100000000003,5.57927,10,10,10,10
60,8.487018,0.14321600000000004,2.04115,5.5606800000000005,10,10,10,10
61,8.4883,0.142255,2.00033,5.5426400000000005,10,10,10,10
62,8.489604000000002,0.141317,1.96049,5.5250900000000005,10,10,10,10
63,8.490917999999999,0.14038999999999996,1.92164,5.50802,10,10,10,10
64,8.492249,0.139476,1.8837400000000002,5.491429999999999,10,10,10,10
65,8.493599000000001,0.138586,1.8467600000000002,5.47531,10,10,10,10
66,8.49496,0.13770100000000002,1.81073,5.45962,10,10,10,10
67,8.496336,0.136841,1.77554,5.44438,10,10,10,10
68,8.497734,0.135988,1.7412199999999998,5.42953,10,10,10,10
69,8.499139,0.13514599999999996,1.70775,5.415109999999999,10,10,10,10
70,8.500563000000001,0.13431699999999996,1.6751,5.40108,10,10,10,10
71,8.502001,0.133499,1.64325,5.3874200000000005,10,10,10,10
72,8.503453,0.13270200000000001,1.61219,5.37412,10,10,10,10
73,8.504918,0.131909,1.5819100000000001,5.36119,10,10,10,10
