,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,
0,5.379636999999999,4.006948000000001,5.404765999999998,5.379636999999999,1.0,0.7406890815496445,1.0,1.0,1.0,100,100,100,100,100,100,100,100,100
1,5.380062750000002,3.956557500000001,5.291047000000001,5.316250999999999,0.6245411761008177,0.7406890815496445,0.9825,1.035,17.99,100,100,100,100,100,100,100,100,100
2,5.379628,3.9194137499999995,5.212452999999999,5.271539999999999,0.355313572942453,0.7406890815496445,0.9666249999999998,1.105,115.62,100,100,100,100,100,100,100,100,100
3,5.3788955,3.88824675,5.148979999999999,5.235395,0.27017206839142743,0.7406890815496445,0.9526408730158731,1.195,306.07,100,100,100,100,100,100,100,100,100
4,5.378019,3.860688999999998,5.094397999999999,5.204351999999999,0.23809514398650602,0.7406890815496445,0.9358433892496393,1.3825,545.53,100,100,100,100,100,100,100,100,100
5,5.377067,3.835636999999999,5.045770000000002,5.176845999999999,0.22131785084987768,0.7406890815496445,0.9107345464227359,1.8875,739.19,100,100,100,100,100,100,100,100,100
6,5.37607525,3.8124562500000008,5.001485,5.151975,0.2048451266107875,0.7406890815496445,0.8907085446443013,2.585,870.425,100,100,100,100,100,100,100,100,100
7,5.3750605,3.7907437500000007,4.960509999999998,5.129183999999999,0.19620884352603238,0.7406890815496445,0.8702239026748555,3.415,960.325,100,100,100,100,100,100,100,100,100
8,5.3740440000000005,3.7702320000000005,4.922181000000001,5.1080869999999985,0.17920414961829415,0.7406890815496445,0.8525362455491912,4.4925,1022.85,100,100,100,100,100,100,100,100,100
9,5.373026999999997,3.750723249999999,4.886005999999999,5.088402,0.15704902224986372,0.7406890815496445,0.8354328914560076,5.8775,1068.94,100,100,100,100,100,100,100,100,100
10,5.3720190000000025,3.7320805000000012,4.851639000000001,5.069944000000001,0.15101402580540144,0.7406890815496445,0.8060207224981686,7.74875,1105.07,100,100,100,100,100,100,100,100,100
11,5.371021,3.7141807499999997,4.818815,5.0525319999999985,0.14574332643945045,0.7406890815496445,0.7845359441577885,9.84,1132.74,100,100,100,100,100,100,100,100,100
12,5.370040250000001,3.6969332500000007,4.787327000000001,5.036060999999998,0.14002756091047838,0.7406890815496445,0.7576086757759936,12.5775,1156.73,100,100,100,100,100,100,100,100,100
13,5.3690764999999985,3.6802705,4.757007,5.0204249999999995,0.13648217802813803,0.7406890815496445,0.7218533507954403,16.12,1176.55,100,100,100,100,100,100,100,100,100
14,5.368129499999998,3.664134500000001,4.727724,5.005538999999999,0.13347544095536698,0.7406890815496445,0.7030696237856187,20.1575,1194.02,100,100,100,100,100,100,100,100,100
15,5.3672065000000035,3.648475499999999,4.6993469999999995,4.991331,0.12038478309631656,0.7406890815496445,0.6775725995709391,24.885,1208.63,100,100,100,100,100,100,100,100,100
16,5.366307999999999,3.6332492499999995,4.671800999999999,4.9777569999999995,0.1117810804240601,0.7406890815496445,0.653165871629935,30.35125,1222.21,100,100,100,100,100,100,100,100,100
17,5.365430499999999,3.61841775,4.645004000000003,4.9647539999999974,0.10803009263309693,0.7406890815496445,0.6322790680197805,36.4475,1233.69,100,100,100,100,100,100,100,100,100
18,5.36457775,3.6039532499999996,4.618885000000001,4.952273000000001,0.10230335296733856,0.7406890815496445,0.6063268203881468,43.3325,1242.86,100,100,100,100,100,100,100,100,100
19,5.363744250000001,3.5898282499999983,4.593380999999999,4.940298999999999,0.10132880159524403,0.7406890815496445,0.5879006215063962,50.455,1250.69,100,100,100,100,100,100,100,100,100
20,5.362939750000001,3.5760184999999995,4.5684450000000005,4.9287849999999995,0.09260492152613736,0.7406890815496445,0.5609809782948628,58.1375,1257.48,100,100,100,100,100,100,100,100,100
21,5.3621585000000005,3.5625032499999993,4.544030999999999,4.917711999999998,0.08878278079293941,0.7406890815496445,0.5423668040945918,65.94625,1263.06,100,100,100,100,100,100,100,100,100
22,5.361403750000002,3.5492654999999984,4.5201,4.907036,0.08172887050855515,0.7406890815496445,0.5254681209006342,74.015,1268.88,100,100,100,100,100,100,100,100,100
23,5.3606695,3.5362887500000006,4.496609000000001,4.896749,0.07302814073776037,0.7406890815496445,0.512802063932718,81.8775,1274.03,100,100,100,100,100,100,100,100,100
24,5.359965999999998,3.5235492499999994,4.473546999999998,4.886826,0.07142506331977085,0.7406890815496445,0.500402665700644,89.9525,1278.75,100,100,100,100,100,100,100,100,100
25,5.359282500000003,3.5110439999999987,4.450862000000003,4.877254,0.06835962273576399,0.7406890815496445,0.4901078424879602,97.5525,1283.92,100,100,100,100,100,100,100,100,100
26,5.358629250000002,3.498753750000002,4.428535,4.868001000000001,0.06550135270427926,0.7406890815496445,0.48139491729403777,105.47125,1288.65,100,100,100,100,100,100,100,100,100
27,5.358,3.4866755,4.406547,4.859070999999999,0.06428841183490416,0.7406890815496445,0.4638511085847579,113.255,1293.1,100,100,100,100,100,100,100,100,100
28,5.357396999999997,3.474787,4.384881,4.850429999999999,0.0617480727056813,0.7406890815496445,0.45631564667855684,121.18375,1297.04,100,100,100,100,100,100,100,100,100
29,5.356816499999997,3.463091,4.363499000000001,4.842081000000001,0.061370644059119996,0.7406890815496445,0.45089071225245647,128.7625,1300.98,100,100,100,100,100,100,100,100,100
30,5.356263749999997,3.451576250000002,4.342395999999998,4.834005000000001,0.06086844281292461,0.7406890815496445,0.43989222921220467,136.6725,1304.48,100,100,100,100,100,100,100,100,100
31,5.35573575,3.4402225000000004,4.321551,4.826182,0.05863935418102764,0.7406890815496445,0.43147334688606326,144.65,1307.67,100,100,100,100,100,100,100,100,100
32,5.355230499999997,3.4290385000000008,4.300944999999998,4.818610000000001,0.05817245397575355,0.7406890815496445,0.423391805832299,152.76125,1310.88,100,100,100,100,100,100,100,100,100
33,5.354752000000001,3.4180077500000006,4.2805789999999995,4.811286999999999,0.0562414073733196,0.7406890815496445,0.4202259568782339,160.45625,1313.92,100,100,100,100,100,100,100,100,100
