,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
47,5.436615,2.369895,3.7461100000000003,4.6144099999999995,12860.2,39.95,1434.2,10,10,10,10,10,10,10
48,5.4367149999999995,2.36338,3.7237699999999996,4.6058,12878.1,41.0,1439.7,10,10,10,10,10,10,10
49,5.436815,2.356955,3.7016,4.5973,12890.1,42.0,1445.0,10,10,10,10,10,10,10
50,5.436909999999999,2.3506075,3.6794999999999995,4.58894,12900.2,42.95,1449.9,10,10,10,10,10,10,10
51,5.43703,2.3443475,3.6575399999999996,4.580710000000001,12908.3,44.225,1455.2,10,10,10,10,10,10,10
52,5.437145,2.3381649999999996,3.63566,4.572579999999999,12915.4,45.425,1461.1,10,10,10,10,10,10,10
53,5.4372825,2.3320525,3.6139200000000002,4.56459,12923.6,46.65,1466.6,10,10,10,10,10,10,10
54,5.4374175000000005,2.3260250000000005,3.5922600000000005,4.55668,12929.3,47.725,1470.9,10,10,10,10,10,10,10
55,5.437547500000001,2.3200499999999997,3.570689999999999,4.54894,12935.1,48.675,1476.4,10,10,10,10,10,10,10
56,5.437689999999999,2.3141525,3.5492200000000005,4.541259999999999,12942.6,49.725,1482.4,10,10,10,10,10,10,10
57,5.4378525,2.308325,3.5278199999999997,4.533690000000001,12949.5,50.8,1487.3,10,10,10,10,10,10,10
58,5.438012500000001,2.3025624999999996,3.50653,4.52623,12957.6,51.85,1493.3,10,10,10,10,10,10,10
59,5.438182499999999,2.29686,3.48529,4.51891,12965.3,53.0,1499.7,10,10,10,10,10,10,10
60,5.438360000000001,2.2912225,3.46415,4.511639999999999,12974.6,53.975,1505.8,10,10,10,10,10,10,10
61,5.438530000000001,2.2856425,3.4431,4.5045,12983.6,55.1,1511.9,10,10,10,10,10,10,10
62,5.438725,2.2801225,3.4221399999999997,4.49747,12991.9,55.95,1516.8,10,10,10,10,10,10,10
63,5.4389225,2.2746625000000003,3.4012100000000003,4.4905,13004.7,57.125,1523.0,10,10,10,10,10,10,10
64,5.439127500000001,2.26926,3.3803700000000005,4.483639999999999,13023.4,57.975,1527.2,10,10,10,10,10,10,10
65,5.4393199999999995,2.26391,3.3595999999999995,4.4768799999999995,13039.5,58.875,1532.4,10,10,10,10,10,10,10
66,5.4395325,2.25862,3.33893,4.470219999999999,13052.2,59.775,1537.3,10,10,10,10,10,10,10
67,5.439757500000001,2.2533675000000004,3.3183300000000004,4.46362,13061.5,60.65,1541.9,10,10,10,10,10,10,10
68,5.4399774999999995,2.248185,3.29777,4.45714,13068.95,61.5,1546.9,10,10,10,10,10,10,10
69,5.440205,2.243035,3.2772799999999997,4.45074,13075.7,62.35,1549.5,10,10,10,10,10,10,10
70,5.440437500000001,2.2379450000000003,3.25689,4.444449999999999,13082.6,63.2,1552.6,10,10,10,10,10,10,10
71,5.4406775000000005,2.232905,3.23654,4.438199999999999,13090.5,64.175,1555.7,10,10,10,10,10,10,10
72,5.440927499999999,2.2279175,3.2162400000000004,4.43208,13097.4,64.875,1560.45,10,10,10,10,10,10,10
73,5.44118,2.2229575,3.19603,4.42601,13104.9,65.7,1563.4,10,10,10,10,10,10,10
74,5.4414299999999995,2.2180600000000004,3.1758800000000003,4.420059999999999,13112.3,66.475,1567.9,10,10,10,10,10,10,10
75,5.441697499999999,2.213195,3.15579,4.41418,13119.5,67.525,1571.2,10,10,10,10,10,10,10
76,5.441955,2.2083775,3.1357799999999996,4.40838,13128.1,68.15,1574.9,10,10,10,10,10,10,10
77,5.442220000000001,2.2036024999999997,3.1158399999999995,4.40266,13136.9,69.025,1577.3,10,10,10,10,10,10,10
78,5.4425,2.1988800000000004,3.09593,4.39701,13147.9,70.05,1580.8,10,10,10,10,10,10,10
79,5.4427900000000005,2.1941824999999993,3.07611,4.391440000000001,13158.7,70.975,1584.5,10,10,10,10,10,10,10
80,5.4430675,2.18953,3.05633,4.385970000000001,13168.5,71.6,1586.9,10,10,10,10,10,10,10
81,5.443360000000001,2.1849125000000003,3.0366400000000002,4.3805700000000005,13178.4,72.1,1590.6,10,10,10,10,10,10,10
82,5.4436599999999995,2.1803375,3.01701,4.37527,13187.9,72.575,1595.0,10,10,10,10,10,10,10
