,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,
0,5.4193218750000005,5.425372916666668,5.411871874999999,5.4193218750000005,1.0,0,1.0,1.0,1.0,96,96,96,96,96,96,96,96,96
1,5.373557291666667,5.334561458333332,5.295930208333332,5.347030208333332,0.5026772626602535,0,0.9433159722222223,1.53125,54.770833333333336,96,96,96,96,96,96,96,96,96
2,5.338316666666664,5.267959375000002,5.214533333333331,5.2965302083333325,0.3000548184057434,0,0.8829124579124578,2.4479166666666665,428.328125,96,96,96,96,96,96,96,96,96
3,5.308062499999999,5.212340624999999,5.148232291666669,5.255555208333336,0.246652618913468,0,0.8252137679131213,4.15625,999.0208333333334,96,96,96,96,96,96,96,96,96
4,5.280967708333333,5.163416666666669,5.090867708333333,5.220233333333333,0.21049909595544,0,0.7601307070798318,6.979166666666667,1367.78125,96,96,96,96,96,96,96,96,96
5,5.256160416666665,5.119175,5.039564583333333,5.188759374999998,0.19701539469000465,0,0.6872229593062631,12.052083333333334,1525.5729166666667,96,96,96,96,96,96,96,96,96
6,5.23315,5.0784062500000005,4.992688541666666,5.1601229166666664,0.15784651151586795,0,0.6424200041814058,21.286458333333332,1615.3854166666667,96,96,96,96,96,96,96,96,96
7,5.211583333333331,5.0403885416666645,4.949219791666667,5.1336885416666656,0.13694002381091772,0,0.5838341461540022,36.145833333333336,1703.71875,96,96,96,96,96,96,96,96,96
8,5.191253125,5.004614583333333,4.908480208333331,5.109032291666666,0.13333559305095452,0,0.534912491072833,58.364583333333336,1797.5729166666667,96,96,96,96,96,96,96,96,96
9,5.171979166666666,4.970698958333332,4.869973958333332,5.08584375,0.12101444474810748,0,0.4820196250377546,88.09375,1867.9166666666667,96,96,96,96,96,96,96,96,96
10,5.153651041666666,4.938353125,4.833340625,5.0639031249999995,0.11052966236473027,0,0.4526543668461431,125.55208333333333,1908.9166666666667,96,96,96,96,96,96,96,96,96
11,5.1361468750000006,4.9073729166666675,4.798315624999998,5.043024999999999,0.09865585742377063,0,0.4240054474580474,169.38020833333334,1935.7291666666667,96,96,96,96,96,96,96,96,96
12,5.119389583333331,4.877563541666663,4.764676041666665,5.023086458333334,0.09579424617002104,0,0.4128105536387059,217.31770833333334,1957.1875,96,96,96,96,96,96,96,96,96
13,5.103324999999999,4.848794791666667,4.732256250000001,5.003976041666667,0.09435525266493285,0,0.38682007434210375,266.34375,1976.1875,96,96,96,96,96,96,96,96,96
14,5.0878843750000025,4.820936458333333,4.700911458333333,4.985596875000001,0.0874285913754071,0,0.3630821858773254,313.78125,1994.0,96,96,96,96,96,96,96,96,96
15,5.073029166666668,4.793906249999998,4.670515625000001,4.967873958333334,0.08592697371724911,0,0.34234030411671107,356.3958333333333,2009.3854166666667,96,96,96,96,96,96,96,96,96
16,5.058721874999998,4.767594791666666,4.64098125,4.950758333333332,0.07594090386087367,0,0.32993068396133346,398.1822916666667,2022.9166666666667,96,96,96,96,96,96,96,96,96
17,5.044917708333336,4.741949999999998,4.612220833333333,4.93419166666667,0.07496231672942104,0,0.3119587767036081,435.9895833333333,2035.0104166666667,96,96,96,96,96,96,96,96,96
18,5.031596875000002,4.716887500000001,4.584154166666666,4.918118750000001,0.07354877869069572,0,0.2981321683291636,469.375,2047.625,96,96,96,96,96,96,96,96,96
19,5.018729166666667,4.692378125,4.556729166666667,4.902510416666666,0.06343647179523684,0,0.2935169930208856,501.5260416666667,2062.328125,96,96,96,96,96,96,96,96,96
