,mean,mean,mean,mean,count,count,count,count
,random_r,random_r1,sr1o,sro,random_r,random_r1,sr1o,sro
0,,,,,,,,
0,4.833899999999999,3.6459149999999996,5.38256,5.3709999999999996,10,10,10,10
1,4.836836,3.601956,5.24823,5.29668,10,10,10,10
2,4.838105,3.5696540000000008,5.15631,5.2415,10,10,10,10
3,4.838800000000001,3.542585,5.08242,5.19756,10,10,10,10
4,4.839177000000001,3.5186770000000003,5.019080000000001,5.1597800000000005,10,10,10,10
5,4.839358,3.496947,4.9627,5.12636,10,10,10,10
6,4.839402999999999,3.476851,4.91142,5.09614,10,10,10,10
7,4.839354999999999,3.4580379999999997,4.863999999999999,5.068429999999999,10,10,10,10
8,4.839211,3.440257,4.819599999999999,5.042679999999999,10,10,10,10
9,4.839017999999999,3.423354,4.77771,5.01867,10,10,10,10
10,4.8387769999999986,3.4071870000000004,4.73791,4.9961,10,10,10,10
11,4.838488000000001,3.39167,4.6998299999999995,4.974780000000001,10,10,10,10
12,4.838166,3.3767159999999996,4.6633000000000004,4.954560000000001,10,10,10,10
13,4.8378239999999995,3.3622760000000005,4.62806,4.935319999999999,10,10,10,10
14,4.837452,3.348281,4.59399,4.91697,10,10,10,10
15,4.83707,3.334688,4.560989999999999,4.8994100000000005,10,10,10,10
16,4.836665999999999,3.3214780000000004,4.5289,4.88265,10,10,10,10
17,4.8362430000000005,3.3085949999999995,4.49764,4.86656,10,10,10,10
18,4.835823,3.2960370000000005,4.46718,4.8511,10,10,10,10
19,4.835393,3.2837720000000004,4.43741,4.836250000000001,10,10,10,10
20,4.834951000000001,3.2717680000000002,4.40827,4.821949999999999,10,10,10,10
21,4.834504000000001,3.260025,4.37975,4.80819,10,10,10,10
22,4.834059,3.248516000000001,4.35176,4.79495,10,10,10,10
23,4.833609,3.2372209999999995,4.3242899999999995,4.78217,10,10,10,10
24,4.833162,3.226145,4.297289999999999,4.7698599999999995,10,10,10,10
25,4.8327219999999995,3.2152600000000007,4.2707500000000005,4.7579899999999995,10,10,10,10
26,4.832273,3.2045630000000003,4.24462,4.74652,10,10,10,10
27,4.83183,3.1940380000000004,4.21886,4.735469999999999,10,10,10,10
28,4.831393,3.18368,4.19349,4.72481,10,10,10,10
29,4.830965,3.17349,4.16844,4.714519999999999,10,10,10,10
30,4.830543999999999,3.1634489999999995,4.1437100000000004,4.704549999999999,10,10,10,10
31,4.830121000000001,3.1535450000000003,4.1192899999999995,4.694940000000001,10,10,10,10
32,4.829716,3.1437920000000004,4.09513,4.68565,10,10,10,10
33,4.829308,3.1341710000000003,4.07127,4.67671,10,10,10,10
34,4.828917,3.124671,4.0476399999999995,4.66803,10,10,10,10
35,4.8285290000000005,3.115298,4.02425,4.65967,10,10,10,10
36,4.828155,3.106039,4.00108,4.65158,10,10,10,10
37,4.827786000000001,3.096894,3.9781199999999997,4.643769999999999,10,10,10,10
38,4.8274360000000005,3.087863,3.95537,4.636239999999999,10,10,10,10
39,4.827084000000001,3.0789350000000004,3.932810000000001,4.628950000000001,10,10,10,10
40,4.8267549999999995,3.070107,3.91041,4.621920000000001,10,10,10,10
41,4.826434,3.061375,3.88816,4.61513,10,10,10,10
42,4.826122,3.05274,3.8661100000000004,4.608549999999999,10,10,10,10
43,4.82582,3.0441979999999997,3.84419,4.60224,10,10,10,10
44,4.825533,3.0357429999999996,3.8224299999999998,4.596120000000001,10,10,10,10
45,4.825266,3.0273719999999997,3.8008,4.59019,10,10,10,10
46,4.825006,3.0190940000000004,3.7792900000000005,4.58449,10,10,10,10
47,4.824751,3.0108889999999997,3.75792,4.578989999999999,10,10,10,10
48,4.824525000000001,3.002758,3.7366300000000003,4.57369,10,10,10,10
49,4.824298,2.9947099999999995,3.7154799999999994,4.5685899999999995,10,10,10,10
50,4.824089,2.986732,3.6944299999999997,4.56365,10,10,10,10
51,4.823900999999999,2.9788329999999994,3.6734700000000005,4.55889,10,10,10,10
52,4.823715999999999,2.971003,3.6525999999999996,4.554320000000001,10,10,10,10
53,4.823555,2.963241,3.6318599999999996,4.549899999999999,10,10,10,10
54,4.823400000000001,2.955536,3.61118,4.54567,10,10,10,10
55,4.82326,2.9479029999999997,3.59056,4.54159,10,10,10,10
56,4.823141000000001,2.9403290000000006,3.5700600000000002,4.537640000000001,10,10,10,10
57,4.8230319999999995,2.9328220000000003,3.5496199999999996,4.53388,10,10,10,10
58,4.822941999999999,2.925364,3.5292299999999996,4.5302500000000006,10,10,10,10
59,4.822857,2.91798,3.50894,4.52675,10,10,10,10
60,4.822795,2.9106460000000003,3.4886899999999996,4.52342,10,10,10,10
61,4.822747,2.903368,3.4685200000000003,4.52024,10,10,10,10
62,4.8227150000000005,2.8961429999999995,3.44842,4.5171600000000005,10,10,10,10
63,4.8226949999999995,2.8889749999999994,3.42836,4.51421,10,10,10,10
64,4.822688000000001,2.881854,3.4083599999999996,4.511419999999999,10,10,10,10
65,4.822699999999999,2.874788,3.3884,4.50872,10,10,10,10
66,4.822728,2.867772,3.3685300000000007,4.50615,10,10,10,10
67,4.822767999999999,2.8608070000000003,3.3486800000000003,4.50371,10,10,10,10
68,4.822822,2.853881,3.3288999999999995,4.50137,10,10,10,10
69,4.8228990000000005,2.847003,3.3091700000000004,4.49916,10,10,10,10
70,4.8229820000000005,2.8401789999999996,3.28948,4.49706,10,10,10,10
71,4.823082,2.833392,3.2698499999999995,4.49505,10,10,10,10
