,mean,mean,mean,mean,mean,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,random_r,random_r1,sr1o,sro,zmscore
0,,,,,,,,,,
0,2.149315555555556,1567.4834755555555,0.00037,5.44777,0.740547901391983,10,10,10,10,10
1,5.260123333333333,1620.6564144444444,0.00034,5.37363,0.740547901391983,10,10,10,10,10
2,26.470977777777772,1666.4320233333333,0.00034,5.322229999999999,0.740547901391983,10,10,10,10,10
3,62.39296777777777,1734.927862222222,0.00034,5.280680000000001,0.740547901391983,10,10,10,10,10
4,84.35387111111113,1815.242461111111,0.00032,5.24498,0.740547901391983,10,10,10,10,10
5,95.25923222222224,1894.9529266666664,0.00031000000000000005,5.21326,0.740547901391983,10,10,10,10,10
6,104.45905666666667,1946.3533133333335,0.00028000000000000003,5.18444,0.740547901391983,10,10,10,10,10
7,111.58112000000003,1983.3989533333329,0.00027000000000000006,5.15792,0.740547901391983,10,10,10,10,10
8,117.21430444444448,2013.41189,0.00027000000000000006,5.1332,0.740547901391983,10,10,10,10,10
9,121.43638888888893,2035.4253566666666,0.00027000000000000006,5.109989999999999,0.740547901391983,10,10,10,10,10
10,125.30293222222221,2052.200368888889,0.00027000000000000006,5.0880600000000005,0.740547901391983,10,10,10,10,10
11,128.46948333333336,2067.2424233333336,0.00025000000000000006,5.06723,0.740547901391983,10,10,10,10,10
12,131.5582688888889,2085.52369,0.00025000000000000006,5.0474000000000006,0.740547901391983,10,10,10,10,10
13,135.6248377777778,2119.9496866666664,0.00025000000000000006,5.028379999999999,0.740547901391983,10,10,10,10,10
14,139.04696888888893,2161.187048888889,0.00023000000000000003,5.010129999999999,0.740547901391983,10,10,10,10,10
15,141.6468888888889,2183.0357477777775,0.00023000000000000003,4.99256,0.740547901391983,10,10,10,10,10
16,143.98015111111113,2202.595762222222,0.00023000000000000003,4.97563,0.740547901391983,10,10,10,10,10
17,145.81341666666668,2219.855958888889,0.00023000000000000003,4.95923,0.740547901391983,10,10,10,10,10
18,147.34669111111114,2235.171888888889,0.00023000000000000003,4.943390000000001,0.740547901391983,10,10,10,10,10
19,149.01330555555558,2252.810192222222,0.00023000000000000003,4.927989999999999,0.740547901391983,10,10,10,10,10
20,150.16881444444445,2272.459752222222,0.00023000000000000003,4.91306,0.740547901391983,10,10,10,10,10
21,151.00210333333337,2288.687222222222,0.00022000000000000006,4.89853,0.740547901391983,10,10,10,10,10
22,152.04651333333337,2301.370378888889,0.00022000000000000006,4.88439,0.740547901391983,10,10,10,10,10
23,152.8909277777778,2313.0758699999997,0.00022000000000000006,4.87059,0.740547901391983,10,10,10,10,10
24,153.6020177777778,2324.9703577777777,0.00022000000000000006,4.85713,0.740547901391983,10,10,10,10,10
25,154.25755111111113,2338.2649488888887,0.00020000000000000004,4.843999999999999,0.740547901391983,10,10,10,10,10
26,154.81309333333337,2351.9596333333334,0.00020000000000000004,4.83117,0.740547901391983,10,10,10,10,10
27,155.3797477777778,2365.8544111111105,0.00020000000000000004,4.8186100000000005,0.740547901391983,10,10,10,10,10
28,156.09085333333337,2380.027051111111,0.00020000000000000004,4.806320000000001,0.740547901391983,10,10,10,10,10
29,156.50196444444447,2394.3775444444445,0.00020000000000000004,4.79428,0.740547901391983,10,10,10,10,10
30,156.95752000000002,2406.9058933333336,0.00020000000000000004,4.782500000000001,0.740547901391983,10,10,10,10,10
31,157.52419555555556,2419.6009799999997,0.00020000000000000004,4.7709600000000005,0.740547901391983,10,10,10,10,10
32,158.01309444444445,2432.573913333333,0.00020000000000000004,4.7596099999999995,0.740547901391983,10,10,10,10,10
33,158.6019977777778,2444.2246855555554,0.00020000000000000004,4.748489999999999,0.740547901391983,10,10,10,10,10
34,159.3131277777778,2457.108857777778,0.00020000000000000004,4.7376,0.740547901391983,10,10,10,10,10
35,159.89092555555558,2471.4208633333333,0.00020000000000000004,4.7269000000000005,0.740547901391983,10,10,10,10,10
36,160.44651111111114,2489.3662588888888,0.00020000000000000004,4.71638,0.740547901391983,10,10,10,10,10
37,161.02431555555557,2513.217262222222,0.00019,4.70603,0.740547901391983,10,10,10,10,10
38,161.46879666666666,2542.9905377777777,0.00019,4.695869999999999,0.740547901391983,10,10,10,10,10
39,162.06883444444446,2577.552751111111,0.00019,4.68589,0.740547901391983,10,10,10,10,10
40,162.65776222222226,2609.9261211111116,0.00019,4.67606,0.740547901391983,10,10,10,10,10
41,163.26891111111115,2640.343981111111,0.00019,4.66639,0.740547901391983,10,10,10,10,10
42,164.0467377777778,2664.706327777777,0.00019,4.65687,0.740547901391983,10,10,10,10,10
43,164.70234111111114,2684.9576077777774,0.00019,4.647529999999999,0.740547901391983,10,10,10,10,10
44,165.24683333333334,2700.4422588888892,0.00019,4.638319999999999,0.740547901391983,10,10,10,10,10
45,165.94688888888894,2712.0602766666666,0.00019,4.62927,0.740547901391983,10,10,10,10,10
46,166.7580588888889,2721.9561133333336,0.00019,4.62033,0.740547901391983,10,10,10,10,10
47,167.50256333333337,2731.7630922222224,0.00019,4.6115200000000005,0.740547901391983,10,10,10,10,10
48,168.26929111111116,2741.81455,0.00019,4.60285,0.740547901391983,10,10,10,10,10
49,169.11380444444444,2754.666044444444,0.00019,4.59431,0.740547901391983,10,10,10,10,10
50,169.74720000000002,2769.8175688888887,0.00019,4.58592,0.7367214977741241,10,10,10,10,10
51,170.45838666666668,2787.035792222222,0.00019,4.5776200000000005,0.7367214977741241,10,10,10,10,10
52,171.25845999999999,2811.4095933333333,0.00019,4.56944,0.7367214977741241,10,10,10,10,10
