,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmscore,zrandom_rank,zrank,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,
0,5.3360249999999985,2.727107000000002,2.7545799999999985,5.377531,5.3360249999999985,5.208101,0.7406193530559539,1.0,1.0,100,100,100,100,100,100,100,100,100
1,5.335575,2.668771749999999,2.69730725,5.277022999999999,5.262564999999999,5.109187,0.7406193530559539,1.0325,85.71,100,100,100,100,100,100,100,100,100
2,5.3352312500000005,2.62820675,2.6575017499999998,5.206361,5.211918999999999,5.039784000000002,0.7406193530559539,1.155,369.32,100,100,100,100,100,100,100,100,100
3,5.334960499999999,2.5952177500000007,2.6251329999999995,5.148756,5.171114,4.983254,0.7406193530559539,1.275,754.825,100,100,100,100,100,100,100,100,100
4,5.3347500000000005,2.56669975,2.5971627499999994,5.098885000000001,5.136175000000001,4.934346,0.7406193530559539,1.4025,1117.33,100,100,100,100,100,100,100,100,100
5,5.334590500000002,2.541228249999999,2.5721722500000004,5.054258000000001,5.105218000000001,4.890619000000001,0.7406193530559539,1.63,1363.225,100,100,100,100,100,100,100,100,100
6,5.334477000000001,2.5180065,2.54938525,5.013482999999997,5.077239000000002,4.8506800000000005,0.7406193530559539,2.065,1495.18,100,100,100,100,100,100,100,100,100
7,5.334405500000002,2.4965337499999998,2.5283042499999997,4.975691999999999,5.051573,4.813682000000001,0.7406193530559539,2.76,1560.11,100,100,100,100,100,100,100,100,100
8,5.334368250000001,2.476474750000001,2.5085972500000002,4.940291000000001,5.027788000000002,4.779027999999998,0.7406193530559539,3.7425,1598.145,100,100,100,100,100,100,100,100,100
9,5.334365,2.45758675,2.4900329999999995,4.906860000000002,5.00556,4.746316000000002,0.7406193530559539,5.1375,1623.02,100,100,100,100,100,100,100,100,100
10,5.334394999999996,2.439693249999999,2.4724334999999993,4.875096999999999,4.984671999999998,4.715238000000003,0.7406193530559539,6.6,1641.9,100,100,100,100,100,100,100,100,100
11,5.334457,2.422659500000001,2.4556634999999996,4.844753000000001,4.9649339999999995,4.685579,0.7406193530559539,8.045,1658.01,100,100,100,100,100,100,100,100,100
