,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,random_r,random_r1,random_r2,sr1u,sro,ur2o
0,,,,,,,,,,,,
0,8.477019,0.059063,0.37683,9.896730000000002,9.41891,10.006139999999998,10,10,10,10,10,10
1,8.477096,0.053100999999999995,0.357516,9.54053,9.236630000000002,9.722059999999999,10,10,10,10,10,10
2,8.477198,0.049744,0.344792,9.241810000000001,9.08579,9.49546,10,10,10,10,10,10
3,8.477325000000002,0.047358,0.334827,8.96418,8.950440000000002,9.29328,10,10,10,10,10,10
4,8.477461,0.045502,0.326472,8.696909999999999,8.825770000000002,9.10524,10,10,10,10,10,10
5,8.477621,0.043974,0.319187,8.436339999999998,8.709529999999997,8.926510000000002,10,10,10,10,10,10
6,8.477791000000002,0.042690000000000006,0.312699,8.18112,8.60029,8.75375,10,10,10,10,10,10
7,8.477978,0.041568,0.306817,7.931190000000001,8.497220000000002,8.58405,10,10,10,10,10,10
8,8.478181000000001,0.04057999999999999,0.3014280000000001,7.6869,8.39958,8.41536,10,10,10,10,10,10
9,8.47841,0.039702,0.296431,7.448729999999999,8.306849999999999,8.246550000000003,10,10,10,10,10,10
10,8.478651,0.038898999999999996,0.29177900000000007,7.21717,8.21861,8.077499999999999,10,10,10,10,10,10
11,8.478911,0.03816499999999999,0.287408,6.99262,8.134559999999999,7.908420000000001,10,10,10,10,10,10
12,8.479186,0.037495,0.283296,6.77528,8.0544,7.739700000000001,10,10,10,10,10,10
13,8.479488,0.036861,0.27938999999999997,6.565309999999999,7.9778199999999995,7.571860000000001,10,10,10,10,10,10
14,8.479802000000001,0.036271000000000005,0.27569699999999997,6.36275,7.904649999999999,7.4054400000000005,10,10,10,10,10,10
15,8.480128,0.035727999999999996,0.272177,6.167489999999999,7.83475,7.24094,10,10,10,10,10,10
16,8.480481,0.035216000000000004,0.26881199999999994,5.97946,7.768000000000001,7.078829999999999,10,10,10,10,10,10
17,8.480853,0.034732,0.265593,5.7984800000000005,7.7043099999999995,6.91956,10,10,10,10,10,10
18,8.481237000000002,0.034276,0.262515,5.62438,7.643579999999998,6.763420000000001,10,10,10,10,10,10
19,8.481644,0.033837000000000006,0.25955300000000003,5.456840000000001,7.585719999999999,6.610640000000001,10,10,10,10,10,10
20,8.482063,0.033429,0.25671199999999994,5.295710000000001,7.530670000000001,6.4614199999999995,10,10,10,10,10,10
21,8.482504000000002,0.033037,0.25397100000000006,5.1407,7.478280000000001,6.315790000000001,10,10,10,10,10,10
22,8.482961,0.032667999999999996,0.25132600000000005,4.9915899999999995,7.42847,6.17372,10,10,10,10,10,10
23,8.483435000000002,0.032305,0.24877,4.8482,7.38114,6.035220000000001,10,10,10,10,10,10
24,8.483934999999999,0.031971,0.24629799999999996,4.71033,7.336150000000001,5.9002,10,10,10,10,10,10
25,8.484442,0.031641999999999997,0.243906,4.5778300000000005,7.293469999999999,5.7685900000000006,10,10,10,10,10,10
26,8.484977999999998,0.03133,0.24158099999999996,4.4505,7.25295,5.6403300000000005,10,10,10,10,10,10
27,8.485523,0.031023000000000002,0.23932599999999998,4.32824,7.21452,5.5154000000000005,10,10,10,10,10,10
28,8.486103,0.03074,0.23713400000000004,4.21081,7.17808,5.39369,10,10,10,10,10,10
29,8.486690000000001,0.030462000000000006,0.23501299999999997,4.09816,7.1435400000000016,5.27518,10,10,10,10,10,10
30,8.487319000000001,0.030187,0.23293899999999995,3.9900600000000006,7.11079,5.15987,10,10,10,10,10,10
31,8.487964000000002,0.029924,0.230925,3.8864299999999994,7.07979,5.04768,10,10,10,10,10,10
32,8.488636,0.029677,0.22895399999999996,3.78714,7.05043,4.938630000000001,10,10,10,10,10,10
33,8.489339999999999,0.02943,0.22703100000000004,3.69201,7.022719999999998,4.8327,10,10,10,10,10,10
34,8.490071,0.029195,0.22515000000000002,3.6009499999999997,6.9965,4.72987,10,10,10,10,10,10
35,8.490843000000002,0.028960999999999997,0.22330900000000006,3.51379,6.971819999999999,4.63014,10,10,10,10,10,10
36,8.491643,0.028736,0.22150099999999995,3.43043,6.94855,4.53348,10,10,10,10,10,10
37,8.492478,0.028516000000000003,0.21973199999999998,3.3507100000000003,6.92668,4.43986,10,10,10,10,10,10
38,8.493362000000001,0.028305000000000004,0.21799199999999996,3.2744899999999992,6.90616,4.34926,10,10,10,10,10,10
39,8.494288000000001,0.028093,0.21628700000000003,3.20163,6.8869299999999996,4.26165,10,10,10,10,10,10
40,8.495263999999997,0.027895999999999997,0.21460399999999996,3.13197,6.86895,4.17698,10,10,10,10,10,10
41,8.496278,0.027698,0.212954,3.06539,6.85215,4.0952,10,10,10,10,10,10
42,8.497333999999999,0.027506999999999997,0.21133000000000002,3.0017300000000002,6.83648,4.01627,10,10,10,10,10,10
43,8.498442,0.027319000000000003,0.20973099999999997,2.94084,6.82192,3.94011,10,10,10,10,10,10
