,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,
0,5.417626000000001,3.8477170000000003,5.406768999999998,5.417626000000001,1.0,0,1.0,1.0,1.0,100,100,100,100,100,100,100,100,100
1,5.409321,3.782912000000002,5.285803999999998,5.344578,0.48987066248916783,0,0.954412878787879,1.42,53.555,100,100,100,100,100,100,100,100,100
2,5.401630000000001,3.7347659999999996,5.201383999999997,5.293689000000001,0.2827804281181605,0,0.9219545800111839,2.68,418.195,100,100,100,100,100,100,100,100,100
3,5.3943970000000006,3.6941740000000016,5.132863000000001,5.252470000000001,0.22897325535021007,0,0.8806307380747301,6.9,977.31,100,100,100,100,100,100,100,100,100
4,5.38752,3.6582380000000034,5.073732999999999,5.2169789999999985,0.1920141495832821,0,0.8348297067515575,15.26,1346.42,100,100,100,100,100,100,100,100,100
5,5.380958000000001,3.625562000000001,5.020961,5.1853859999999985,0.1858125527963625,0,0.7960546638483073,30.25,1508.97,100,100,100,100,100,100,100,100,100
6,5.374669,3.5953559999999998,4.972832000000002,5.156664999999999,0.14715069742833622,0,0.7458714124733451,51.51,1604.2,100,100,100,100,100,100,100,100,100
7,5.368629000000001,3.567102000000001,4.928245,5.1301760000000005,0.1309682249640054,0,0.7146192249138638,78.81,1698.35,100,100,100,100,100,100,100,100,100
8,5.362809000000001,3.54046,4.886517999999999,5.105478,0.127738524027368,0,0.6845309087795347,114.56,1802.935,100,100,100,100,100,100,100,100,100
9,5.357178,3.5151690000000007,4.847113999999998,5.082269000000002,0.11566054572148797,0,0.6712017929232517,158.04,1891.15,100,100,100,100,100,100,100,100,100
10,5.351741,3.4910459999999994,4.809666000000002,5.060313999999998,0.10324076733189179,0,0.640755916138287,207.67,1946.06,100,100,100,100,100,100,100,100,100
11,5.346481000000001,3.4679279999999992,4.773880999999999,5.039435999999999,0.0945502949646821,0,0.6253739151750629,258.94,1979.0,100,100,100,100,100,100,100,100,100
12,5.341382000000001,3.4457090000000004,4.739538999999998,5.0195089999999984,0.09168544558521372,0,0.6106543828712919,306.95,2002.83,100,100,100,100,100,100,100,100,100
13,5.336416999999998,3.4242850000000016,4.706455000000002,5.000414,0.08958260240028335,0,0.6077847807131049,351.45,2024.63,100,100,100,100,100,100,100,100,100
14,5.331600999999999,3.403576999999999,4.67449,4.982055000000001,0.08320667889484674,0,0.5970568138654055,389.68,2045.84,100,100,100,100,100,100,100,100,100
15,5.326913000000001,3.383514999999999,4.643510999999999,4.9643630000000005,0.08031903209152245,0,0.5867488624598106,423.0,2066.18,100,100,100,100,100,100,100,100,100
16,5.322354000000002,3.364035999999999,4.613421999999999,4.947283,0.07723230927884085,0,0.5788918065629002,451.17,2086.12,100,100,100,100,100,100,100,100,100
17,5.31791,3.3451110000000024,4.584122,4.930749000000001,0.07094848291246092,0,0.5635842669853239,477.44,2104.31,100,100,100,100,100,100,100,100,100
18,5.313572000000001,3.326666999999999,4.555548999999998,4.9147180000000015,0.07035387756344297,0,0.5582907843849,500.47,2121.565,100,100,100,100,100,100,100,100,100
19,5.3093439999999985,3.308693,4.527632999999998,4.899155999999999,0.0623579690783558,0,0.5551612962997039,520.49,2137.79,100,100,100,100,100,100,100,100,100
