,mean,mean,mean,mean,count,count,count,count
,random_r,random_r1,sr1o,sro,random_r,random_r1,sr1o,sro
0,,,,,,,,
0,5.44777,2.838256666666667,5.4491499999999995,5.44777,10,10,10,10
1,5.447157777777778,2.7863411111111107,5.3064,5.373609999999999,10,10,10,10
2,5.446650000000001,2.750093333333333,5.20861,5.32224,10,10,10,10
3,5.4462133333333345,2.720668888888889,5.13016,5.28074,10,10,10,10
4,5.445841111111112,2.695291111111111,5.06299,5.24512,10,10,10,10
5,5.445511111111111,2.6726944444444443,5.003310000000001,5.21344,10,10,10,10
6,5.445233333333334,2.652131111111111,4.94908,5.184699999999999,10,10,10,10
7,5.444984444444444,2.6331844444444448,4.89899,5.15823,10,10,10,10
8,5.444776666666668,2.615524444444444,4.8522,5.13355,10,10,10,10
9,5.444588888888888,2.5989533333333332,4.80807,5.1104199999999995,10,10,10,10
10,5.4444388888888895,2.5832977777777777,4.7661500000000006,5.08854,10,10,10,10
11,5.444314444444443,2.56843,4.72612,5.06775,10,10,10,10
12,5.444214444444444,2.554248888888889,4.6877200000000006,5.04794,10,10,10,10
13,5.444125555555556,2.540683333333333,4.65072,5.02894,10,10,10,10
14,5.4440711111111115,2.5276655555555556,4.61497,5.01075,10,10,10,10
15,5.444032222222223,2.5151322222222223,4.58034,4.99322,10,10,10,10
16,5.4440133333333325,2.5030544444444445,4.54669,4.9763,10,10,10,10
17,5.44401,2.491378888888889,4.5139499999999995,4.95994,10,10,10,10
18,5.444028888888889,2.4800644444444444,4.48203,4.94411,10,10,10,10
19,5.444059999999999,2.4691044444444445,4.450830000000001,4.92877,10,10,10,10
20,5.44411,2.4584555555555556,4.4203,4.91386,10,10,10,10
21,5.44417,2.448096666666667,4.39042,4.89936,10,10,10,10
22,5.444249999999999,2.4380177777777776,4.3611,4.88526,10,10,10,10
23,5.444343333333333,2.428191111111111,4.33229,4.871510000000001,10,10,10,10
24,5.444450000000001,2.418603333333333,4.30397,4.85808,10,10,10,10
25,5.444568888888889,2.409244444444444,4.27611,4.845,10,10,10,10
26,5.4447,2.4000933333333334,4.24866,4.832210000000001,10,10,10,10
27,5.444842222222222,2.391144444444444,4.22162,4.8197,10,10,10,10
28,5.445004444444444,2.3823855555555555,4.19492,4.807460000000001,10,10,10,10
29,5.4451688888888885,2.373808888888889,4.16859,4.79547,10,10,10,10
30,5.445342222222223,2.365402222222222,4.1425399999999994,4.78374,10,10,10,10
31,5.445537777777778,2.3571644444444444,4.116809999999999,4.77222,10,10,10,10
32,5.445729999999999,2.34907,4.09136,4.760980000000001,10,10,10,10
33,5.445941111111112,2.3411299999999997,4.066159999999999,4.7499199999999995,10,10,10,10
34,5.446167777777779,2.33334,4.041199999999999,4.739059999999999,10,10,10,10
35,5.4463944444444445,2.3256722222222224,4.01649,4.72843,10,10,10,10
36,5.446627777777778,2.3181477777777775,3.9919900000000004,4.71795,10,10,10,10
37,5.446876666666666,2.310737777777778,3.9676999999999993,4.7076400000000005,10,10,10,10
38,5.447132222222222,2.3034488888888887,3.9435899999999995,4.69757,10,10,10,10
39,5.447403333333334,2.2962844444444444,3.9196599999999995,4.68763,10,10,10,10
40,5.44768,2.289228888888889,3.8959200000000003,4.67788,10,10,10,10
41,5.447966666666666,2.282281111111111,3.87235,4.668270000000001,10,10,10,10
42,5.448253333333334,2.275433333333333,3.84891,4.6588400000000005,10,10,10,10
43,5.448552222222221,2.2686944444444443,3.8256300000000003,4.649539999999999,10,10,10,10
44,5.448864444444445,2.2620411111111114,3.80248,4.64041,10,10,10,10
45,5.449174444444443,2.2554844444444444,3.7794499999999998,4.63138,10,10,10,10
46,5.449499999999999,2.2490266666666665,3.75657,4.62252,10,10,10,10
47,5.449832222222222,2.2426444444444447,3.7337900000000004,4.6138,10,10,10,10
48,5.4501655555555555,2.2363577777777772,3.7111299999999994,4.60522,10,10,10,10
49,5.450521111111111,2.2301500000000005,3.6885799999999995,4.59674,10,10,10,10
50,5.450865555555556,2.2240166666666665,3.6661399999999995,4.5884100000000005,10,10,10,10
51,5.451231111111111,2.217962222222222,3.6437800000000005,4.5802,10,10,10,10
52,5.451596666666667,2.2119899999999997,3.6215399999999995,4.57212,10,10,10,10
53,5.451972222222222,2.2060866666666668,3.59936,4.56414,10,10,10,10
54,5.4523544444444445,2.2002466666666662,3.5772800000000005,4.556290000000001,10,10,10,10
55,5.452745555555556,2.1944833333333333,3.5552900000000003,4.54856,10,10,10,10
56,5.453134444444444,2.18879,3.5333799999999997,4.54091,10,10,10,10
57,5.453532222222222,2.183154444444445,3.5115299999999996,4.533400000000001,10,10,10,10
58,5.453945555555555,2.1775811111111114,3.4897599999999995,4.52599,10,10,10,10
59,5.454357777777777,2.172081111111111,3.46807,4.518690000000001,10,10,10,10
60,5.454774444444444,2.1666300000000005,3.44645,4.5115,10,10,10,10
61,5.455206666666667,2.161243333333333,3.4249099999999997,4.5044,10,10,10,10
62,5.45564,2.1559133333333333,3.4034199999999997,4.49742,10,10,10,10
63,5.456078888888889,2.1506311111111107,3.382,4.490539999999999,10,10,10,10
64,5.456521111111111,2.145414444444444,3.3606499999999997,4.4837299999999995,10,10,10,10
65,5.4569688888888885,2.1402466666666666,3.33936,4.47705,10,10,10,10
66,5.4574300000000004,2.135127777777778,3.3181200000000004,4.470439999999999,10,10,10,10
67,5.457889999999999,2.130057777777778,3.29694,4.463939999999999,10,10,10,10
68,5.4583611111111106,2.1250444444444447,3.27583,4.45754,10,10,10,10
69,5.458828888888889,2.120067777777778,3.2547900000000007,4.45122,10,10,10,10
