,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
0,5.417626000000001,2.7118897499999997,5.406768999999998,5.417626000000001,0.7407400840520859,1.0,1.0,100,100,100,100,100,100,100
1,5.417212249999998,2.66540725,5.289505999999998,5.344987,0.7407400840520859,1.01,44.48,100,100,100,100,100,100,100
2,5.41691175,2.6326722499999993,5.208010000000001,5.294419,0.7407400840520859,1.0225,377.01,100,100,100,100,100,100,100
3,5.41669125,2.6059134999999998,5.142014000000001,5.2534620000000025,0.7407400840520859,1.0325,913.655,100,100,100,100,100,100,100
4,5.416528,2.582720750000001,5.085139000000001,5.218218000000002,0.7407400840520859,1.0425,1296.34,100,100,100,100,100,100,100
5,5.41641725,2.561971,5.0344359999999995,5.186851000000001,0.7407400840520859,1.065,1476.24,100,100,100,100,100,100,100
6,5.416346000000001,2.5430217499999985,4.988210000000002,5.1583369999999995,0.7407400840520859,1.09,1575.235,100,100,100,100,100,100,100
7,5.4163172500000005,2.525483,4.945423000000002,5.132042999999999,0.7407400840520859,1.1275,1664.09,100,100,100,100,100,100,100
8,5.41632475,2.5090862499999993,4.905399999999999,5.107527000000001,0.7407400840520859,1.2075,1765.57,100,100,100,100,100,100,100
9,5.4163587500000006,2.4936415,4.867634000000001,5.0844960000000015,0.7407400840520859,1.27625,1860.605,100,100,100,100,100,100,100
10,5.416426499999997,2.4789982499999996,4.831759000000001,5.062707999999999,0.7407400840520859,1.45,1925.13,100,100,100,100,100,100,100
11,5.4165187500000025,2.4650529999999993,4.797506000000002,5.041995999999998,0.7407400840520859,1.7175,1963.9,100,100,100,100,100,100,100
12,5.416635750000001,2.4517160000000007,4.764659,5.022215999999999,0.7407400840520859,2.0875,1989.18,100,100,100,100,100,100,100
13,5.416782499999999,2.438922,4.733050999999998,5.003268,0.7407400840520859,2.4725,2010.15,100,100,100,100,100,100,100
14,5.416945250000001,2.4266067499999995,4.7025380000000006,4.985053000000001,0.7407400840520859,2.87,2029.76,100,100,100,100,100,100,100
15,5.417126750000002,2.4147235,4.672997999999999,4.967502999999999,0.7407400840520859,3.34,2046.36,100,100,100,100,100,100,100
16,5.417334750000001,2.40323075,4.644342,4.9505500000000024,0.7407400840520859,3.945,2060.81,100,100,100,100,100,100,100
17,5.417558500000001,2.39210325,4.616491,4.934142,0.7407400840520859,4.5625,2072.91,100,100,100,100,100,100,100
18,5.4178015,2.38130075,4.589358999999999,4.9182369999999995,0.7407400840520859,5.275,2083.28,100,100,100,100,100,100,100
19,5.418061750000001,2.3708017499999996,4.562888,4.902786,0.7407400840520859,6.18,2092.7,100,100,100,100,100,100,100
20,5.418335750000001,2.3605825,4.537033999999999,4.887765999999999,0.7407400840520859,7.105,2101.73,100,100,100,100,100,100,100
21,5.418630500000002,2.3506277499999997,4.5117389999999995,4.873140999999999,0.7407400840520859,8.2325,2110.61,100,100,100,100,100,100,100
22,5.418939249999999,2.3409155000000004,4.4869569999999985,4.858877000000001,0.7407400840520859,9.3525,2118.96,100,100,100,100,100,100,100
23,5.4192617499999995,2.331430250000001,4.462669000000001,4.844972000000001,0.7407400840520859,10.4475,2127.74,100,100,100,100,100,100,100
24,5.419599999999999,2.322161,4.438819,4.831377000000001,0.7407400840520859,11.62,2136.5,100,100,100,100,100,100,100
25,5.419949749999998,2.3130934999999995,4.415381999999998,4.818095999999999,0.7407400840520859,12.97375,2144.62,100,100,100,100,100,100,100
26,5.420315250000001,2.3042165000000003,4.392345000000002,4.805096000000001,0.7407400840520859,14.48,2153.45,100,100,100,100,100,100,100
27,5.4206925,2.2955145000000003,4.369660999999998,4.792371999999999,0.7407400840520859,16.115,2162.54,100,100,100,100,100,100,100
28,5.421079499999999,2.2869892499999995,4.347326000000001,4.779902000000001,0.7407400840520859,17.60125,2171.0,100,100,100,100,100,100,100
29,5.42148225,2.2786215,4.325303999999999,4.767674,0.7407400840520859,19.42875,2179.71,100,100,100,100,100,100,100
30,5.421896249999999,2.27041025,4.303591000000002,4.755682,0.7407400840520859,21.0925,2188.05,100,100,100,100,100,100,100
31,5.422319249999999,2.26234375,4.282154000000002,4.7439100000000005,0.7407400840520859,22.8425,2196.38,100,100,100,100,100,100,100
32,5.422758750000002,2.2544154999999995,4.260978999999999,4.732354999999999,0.7407400840520859,24.5475,2204.31,100,100,100,100,100,100,100
33,5.423207750000002,2.24661875,4.240055000000002,4.720995,0.7407400840520859,26.225,2211.51,100,100,100,100,100,100,100
34,5.423663999999998,2.2389517499999996,4.219370999999999,4.709836000000001,0.7407400840520859,27.98,2218.67,100,100,100,100,100,100,100
35,5.424134499999999,2.2314065000000003,4.198905,4.698856999999999,0.7407400840520859,29.795,2224.82,100,100,100,100,100,100,100
36,5.424612750000001,2.2239764999999996,4.178656999999999,4.688064,0.7407400840520859,31.5525,2230.165,100,100,100,100,100,100,100
37,5.4251035000000005,2.216657250000001,4.1586,4.677439000000001,0.7407400840520859,33.33,2234.85,100,100,100,100,100,100,100
38,5.4256045,2.2094505000000004,4.138739,4.666973999999999,0.7407400840520859,35.01,2239.49,100,100,100,100,100,100,100
39,5.426111250000002,2.2023422499999996,4.119048999999999,4.6566790000000005,0.7407400840520859,36.8525,2243.83,100,100,100,100,100,100,100
40,5.426630749999998,2.1953325,4.099527999999999,4.646527999999998,0.7407400840520859,38.5,2248.28,100,100,100,100,100,100,100
